date,vaccine_type,vaccine_count
06/08/2021,Astra,29327
06/08/2021,Sinopharm,0
06/08/2021,Cansino,1
07/08/2021,Pfizer,199466
07/08/2021,Sinovac,216128
07/08/2021,Astra,36866
07/08/2021,Sinopharm,0
07/08/2021,Cansino,1
08/08/2021,Pfizer,173839
08/08/2021,Sinovac,200238
08/08/2021,Astra,38079
08/08/2021,Sinopharm,0
08/08/2021,Cansino,1
09/08/2021,Pfizer,227654
09/08/2021,Sinovac,203198
09/08/2021,Astra,57507
09/08/2021,Sinopharm,0
09/08/2021,Cansino,4
10/08/2021,Pfizer,147046
10/08/2021,Sinovac,178932
10/08/2021,Astra,52714
10/08/2021,Sinopharm,0
10/08/2021,Cansino,2
11/08/2021,Pfizer,224458
11/08/2021,Sinovac,236244
11/08/2021,Astra,59373
11/08/2021,Sinopharm,0
11/08/2021,Cansino,5
12/08/2021,Pfizer,251755
12/08/2021,Sinovac,242200
12/08/2021,Astra,58818
12/08/2021,Sinopharm,0
12/08/2021,Cansino,3
13/08/2021,Pfizer,200397
13/08/2021,Sinovac,247370
13/08/2021,Astra,49605
13/08/2021,Sinopharm,0
13/08/2021,Cansino,2
14/08/2021,Pfizer,185279
14/08/2021,Sinovac,239949
14/08/2021,Astra,46184
14/08/2021,Sinopharm,0
14/08/2021,Cansino,0
15/08/2021,Pfizer,166052
15/08/2021,Sinovac,234032
15/08/2021,Astra,40203
15/08/2021,Sinopharm,0
15/08/2021,Cansino,1
16/08/2021,Pfizer,220272
16/08/2021,Sinovac,261256
16/08/2021,Astra,45285
16/08/2021,Sinopharm,0
16/08/2021,Cansino,0
17/08/2021,Pfizer,234249
17/08/2021,Sinovac,272094
17/08/2021,Astra,43470
17/08/2021,Sinopharm,0
17/08/2021,Cansino,4
18/08/2021,Pfizer,220554
18/08/2021,Sinovac,308937
18/08/2021,Astra,43128
18/08/2021,Sinopharm,0
18/08/2021,Cansino,5
19/08/2021,Pfizer,228606
19/08/2021,Sinovac,277316
19/08/2021,Astra,43675
19/08/2021,Sinopharm,0
19/08/2021,Cansino,4
20/08/2021,Pfizer,233581
20/08/2021,Sinovac,247119
20/08/2021,Astra,34630
20/08/2021,Sinopharm,1
20/08/2021,Cansino,1
21/08/2021,Pfizer,234903
21/08/2021,Sinovac,237063
21/08/2021,Astra,29827
21/08/2021,Sinopharm,0
21/08/2021,Cansino,10
22/08/2021,Pfizer,230473
22/08/2021,Sinovac,207641
22/08/2021,Astra,27846
22/08/2021,Sinopharm,0
22/08/2021,Cansino,2
23/08/2021,Pfizer,258580
23/08/2021,Sinovac,123759
23/08/2021,Astra,37191
23/08/2021,Sinopharm,0
23/08/2021,Cansino,0
24/08/2021,Pfizer,288372
24/08/2021,Sinovac,123449
24/08/2021,Astra,35399
24/08/2021,Sinopharm,0
24/08/2021,Cansino,1
25/08/2021,Pfizer,300849
25/08/2021,Sinovac,118301
25/08/2021,Astra,33194
25/08/2021,Sinopharm,0
25/08/2021,Cansino,0
